 
PING 192.168.42.65 (192.168.42.65) 56(84) bytes of data.
64 bytes from 192.168.42.65: icmp_seq=171 ttl=62 time=0.731 ms
64 bytes from 192.168.42.65: icmp_seq=172 ttl=62 time=0.808 ms
64 bytes from 192.168.42.65: icmp_seq=173 ttl=62 time=0.662 ms
64 bytes from 192.168.42.65: icmp_seq=174 ttl=62 time=0.633 ms
64 bytes from 192.168.42.65: icmp_seq=175 ttl=62 time=0.754 ms
64 bytes from 192.168.42.65: icmp_seq=176 ttl=62 time=0.517 ms
64 bytes from 192.168.42.65: icmp_seq=177 ttl=62 time=0.661 ms
64 bytes from 192.168.42.65: icmp_seq=178 ttl=62 time=0.694 ms
64 bytes from 192.168.42.65: icmp_seq=179 ttl=62 time=0.342 ms
64 bytes from 192.168.42.65: icmp_seq=180 ttl=62 time=0.585 ms
64 bytes from 192.168.42.65: icmp_seq=181 ttl=62 time=0.489 ms
64 bytes from 192.168.42.65: icmp_seq=182 ttl=62 time=0.687 ms
64 bytes from 192.168.42.65: icmp_seq=183 ttl=62 time=0.325 ms
64 bytes from 192.168.42.65: icmp_seq=184 ttl=62 time=0.388 ms
64 bytes from 192.168.42.65: icmp_seq=185 ttl=62 time=0.454 ms
64 bytes from 192.168.42.65: icmp_seq=186 ttl=62 time=0.381 ms
64 bytes from 192.168.42.65: icmp_seq=187 ttl=62 time=0.310 ms
64 bytes from 192.168.42.65: icmp_seq=188 ttl=62 time=0.317 ms
64 bytes from 192.168.42.65: icmp_seq=189 ttl=62 time=0.450 ms
64 bytes from 192.168.42.65: icmp_seq=190 ttl=62 time=0.514 ms
64 bytes from 192.168.42.65: icmp_seq=191 ttl=62 time=0.626 ms
64 bytes from 192.168.42.65: icmp_seq=192 ttl=62 time=0.495 ms
64 bytes from 192.168.42.65: icmp_seq=193 ttl=62 time=0.317 ms
64 bytes from 192.168.42.65: icmp_seq=194 ttl=62 time=0.619 ms
64 bytes from 192.168.42.65: icmp_seq=195 ttl=62 time=0.382 ms
64 bytes from 192.168.42.65: icmp_seq=196 ttl=62 time=0.327 ms
64 bytes from 192.168.42.65: icmp_seq=197 ttl=62 time=0.635 ms
64 bytes from 192.168.42.65: icmp_seq=198 ttl=62 time=0.774 ms
64 bytes from 192.168.42.65: icmp_seq=199 ttl=62 time=0.385 ms
64 bytes from 192.168.42.65: icmp_seq=200 ttl=62 time=0.746 ms
64 bytes from 192.168.42.65: icmp_seq=201 ttl=62 time=0.320 ms
64 bytes from 192.168.42.65: icmp_seq=202 ttl=62 time=0.395 ms
64 bytes from 192.168.42.65: icmp_seq=203 ttl=62 time=0.577 ms
64 bytes from 192.168.42.65: icmp_seq=204 ttl=62 time=0.472 ms
64 bytes from 192.168.42.65: icmp_seq=205 ttl=62 time=0.658 ms
64 bytes from 192.168.42.65: icmp_seq=206 ttl=62 time=0.383 ms
64 bytes from 192.168.42.65: icmp_seq=207 ttl=62 time=0.655 ms
64 bytes from 192.168.42.65: icmp_seq=208 ttl=62 time=0.349 ms
64 bytes from 192.168.42.65: icmp_seq=209 ttl=62 time=0.484 ms
64 bytes from 192.168.42.65: icmp_seq=210 ttl=62 time=0.610 ms
64 bytes from 192.168.42.65: icmp_seq=211 ttl=62 time=0.520 ms
64 bytes from 192.168.42.65: icmp_seq=212 ttl=62 time=0.478 ms
64 bytes from 192.168.42.65: icmp_seq=213 ttl=62 time=0.539 ms
64 bytes from 192.168.42.65: icmp_seq=214 ttl=62 time=0.609 ms
64 bytes from 192.168.42.65: icmp_seq=215 ttl=62 time=0.609 ms
64 bytes from 192.168.42.65: icmp_seq=216 ttl=62 time=0.343 ms
64 bytes from 192.168.42.65: icmp_seq=217 ttl=62 time=0.432 ms
64 bytes from 192.168.42.65: icmp_seq=218 ttl=62 time=0.569 ms
64 bytes from 192.168.42.65: icmp_seq=219 ttl=62 time=0.552 ms
64 bytes from 192.168.42.65: icmp_seq=220 ttl=62 time=0.525 ms
64 bytes from 192.168.42.65: icmp_seq=221 ttl=62 time=0.396 ms
64 bytes from 192.168.42.65: icmp_seq=222 ttl=62 time=0.366 ms
64 bytes from 192.168.42.65: icmp_seq=223 ttl=62 time=0.664 ms
64 bytes from 192.168.42.65: icmp_seq=224 ttl=62 time=0.339 ms
64 bytes from 192.168.42.65: icmp_seq=225 ttl=62 time=0.571 ms
64 bytes from 192.168.42.65: icmp_seq=226 ttl=62 time=0.643 ms
64 bytes from 192.168.42.65: icmp_seq=227 ttl=62 time=0.618 ms
64 bytes from 192.168.42.65: icmp_seq=228 ttl=62 time=0.391 ms
64 bytes from 192.168.42.65: icmp_seq=229 ttl=62 time=0.735 ms
64 bytes from 192.168.42.65: icmp_seq=230 ttl=62 time=0.559 ms
64 bytes from 192.168.42.65: icmp_seq=231 ttl=62 time=0.301 ms
64 bytes from 192.168.42.65: icmp_seq=232 ttl=62 time=0.371 ms
64 bytes from 192.168.42.65: icmp_seq=233 ttl=62 time=0.304 ms
64 bytes from 192.168.42.65: icmp_seq=234 ttl=62 time=0.342 ms
64 bytes from 192.168.42.65: icmp_seq=235 ttl=62 time=0.810 ms
64 bytes from 192.168.42.65: icmp_seq=236 ttl=62 time=0.765 ms
64 bytes from 192.168.42.65: icmp_seq=237 ttl=62 time=0.580 ms
64 bytes from 192.168.42.65: icmp_seq=238 ttl=62 time=0.354 ms
64 bytes from 192.168.42.65: icmp_seq=239 ttl=62 time=0.279 ms
64 bytes from 192.168.42.65: icmp_seq=240 ttl=62 time=0.325 ms
64 bytes from 192.168.42.65: icmp_seq=241 ttl=62 time=0.361 ms
64 bytes from 192.168.42.65: icmp_seq=242 ttl=62 time=0.523 ms
64 bytes from 192.168.42.65: icmp_seq=243 ttl=62 time=0.440 ms
64 bytes from 192.168.42.65: icmp_seq=244 ttl=62 time=0.360 ms
64 bytes from 192.168.42.65: icmp_seq=245 ttl=62 time=0.537 ms
64 bytes from 192.168.42.65: icmp_seq=246 ttl=62 time=0.632 ms
64 bytes from 192.168.42.65: icmp_seq=247 ttl=62 time=0.369 ms
64 bytes from 192.168.42.65: icmp_seq=248 ttl=62 time=0.548 ms
64 bytes from 192.168.42.65: icmp_seq=249 ttl=62 time=0.678 ms
64 bytes from 192.168.42.65: icmp_seq=250 ttl=62 time=0.691 ms
64 bytes from 192.168.42.65: icmp_seq=251 ttl=62 time=0.344 ms
64 bytes from 192.168.42.65: icmp_seq=252 ttl=62 time=0.469 ms
64 bytes from 192.168.42.65: icmp_seq=253 ttl=62 time=0.599 ms
64 bytes from 192.168.42.65: icmp_seq=254 ttl=62 time=0.726 ms
64 bytes from 192.168.42.65: icmp_seq=255 ttl=62 time=0.475 ms
64 bytes from 192.168.42.65: icmp_seq=256 ttl=62 time=0.576 ms
64 bytes from 192.168.42.65: icmp_seq=257 ttl=62 time=0.458 ms
64 bytes from 192.168.42.65: icmp_seq=258 ttl=62 time=0.328 ms
64 bytes from 192.168.42.65: icmp_seq=259 ttl=62 time=1.02 ms
64 bytes from 192.168.42.65: icmp_seq=260 ttl=62 time=0.621 ms
64 bytes from 192.168.42.65: icmp_seq=261 ttl=62 time=0.316 ms
64 bytes from 192.168.42.65: icmp_seq=262 ttl=62 time=0.377 ms
64 bytes from 192.168.42.65: icmp_seq=263 ttl=62 time=0.501 ms
64 bytes from 192.168.42.65: icmp_seq=264 ttl=62 time=0.592 ms
64 bytes from 192.168.42.65: icmp_seq=265 ttl=62 time=0.710 ms
64 bytes from 192.168.42.65: icmp_seq=266 ttl=62 time=0.411 ms
64 bytes from 192.168.42.65: icmp_seq=267 ttl=62 time=0.325 ms
64 bytes from 192.168.42.65: icmp_seq=268 ttl=62 time=0.548 ms
64 bytes from 192.168.42.65: icmp_seq=269 ttl=62 time=0.714 ms
64 bytes from 192.168.42.65: icmp_seq=270 ttl=62 time=0.500 ms
64 bytes from 192.168.42.65: icmp_seq=271 ttl=62 time=0.524 ms
64 bytes from 192.168.42.65: icmp_seq=272 ttl=62 time=0.469 ms
64 bytes from 192.168.42.65: icmp_seq=273 ttl=62 time=0.694 ms
